"°íÀ¯¹øÈ£","¾ð¾î","»óÈ£¸í","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈÞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"805","ja","?Ø¡ñéäçÚÏÚªÎ½","140-797 «½«¦«ëã¼×£ß£?éÌß£Ô×6Ê¶168-6 ","04383 «½«¦«ëã¼«è«ó«µ«ó(×£ß£)?«½«Ó«ó«´«í137 (éÌß£Ô×6Ê¶)","+82-2-2077-9000","","http://www.museum.go.kr","êÅèøìí¡¢ûýèøìí¡¢ÙÊèøìí¡¢ÑÑèøìí 10:00-18:00 â©èøìí¡¢÷Ïèøìí 10:00-21:00 ìíèøìí¡¢õæìí 10:00-19:00 ¡Ø ìýÎ½ªÏøÍÎ½ðûÖõãÁÊàªÎ30ÝÂîñªÞªÇ ","","1êÅ1ìí¡¢?ïáêÅÐàªÓõÕàª(??8êÅ15ìí)","ò¢ù»?4?àÊ/«­«ç«ó«¤¡¤«Á«å«ó«¢«óàÊ¡¸«¤«Á«ç«ó¡¹?2ÛãõóÏ¢ª«ªé«è«ó«µ«ó(×£ß£)Ê«ðéÍëê®Û°ØüªØ150m","?ÞÈ«½«¦«ëÚÏÚªÎ½×£ß£??Ø¡ñéäçÚÏÚªÎ½?Ø¡ÚÏÚªÎ½ÚÏÚªÎ½¡¤ÑÀÒ·Î½ßÈàâî÷ãÆ","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"811","zh-CN","?Ø¡ñéäçÚÏÚª?","140-797 âÏ?ã¼?ß£??ß£Ô×6Ê¶ 168-6 ","04383 âÏ?ã¼?ß£?à¤??ÖØ137 ","+82-2-2077-9000","","http://www.museum.go.kr","10:00 ~ 21:00  ñ²ì£¡¢ÞÌ¡¢çé£º10:00 ~ 18:00 ñ²ß²¡¢×¿£º10:00 ~ 21:00 ñ²ìí¡¢ÍëýÌìí£º09:00 ~ 19:00 ìý?ï¸ò­ò¸??îñ30ÝÂ?","","ØßÜñ1êÅ1ìí£¬õð?1êÅ25ìíÐàñéõÕ?10êÅ1ìí£¨2020Ò´Ðññ×£©","4??ñéäç? ì£õ½ó×2?õóÏ¢õó?ý¨£¬ú¾?ß£Ê«ðéÍë?Û°ú¾ÜÆú¼150Ú·   ","??Ùþûùî÷??×Þ÷ÁêÂ?Ø¡ñéäçÚÏÚª?ÚÏÚª?Ùþûù","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"20619","zh-CN","?Ø¡Í¯?ÚÏÚª?","110-820 âÏ??ÖØ?á¦ðóÖØ 1-57 ","03045 âÏ??ÖØ?üøí­ÖØ 12 (á¦ðóÖØ?Ø¡Í¯?ÚÏÚª?) ","+82-2-3701-7500","","http://www.gogung.go.kr/main.do"," 10:00~18:00 (ñ²ß²?ñ²×¿ 10:00~21:00)","","îïÒ´ÙéýÌ","3?? ÌØÜØ?ó×5?õóÏ¢","??âÏ?ÕéêýÌØÜØ?ó×î÷ãÆÚÏÚª?ÕéêýÌØïÃ?Ø¡Í¯?ÚÏÚª?","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"20618","ja","?Ø¡Í¯ÏàÚÏÚªÎ½","110-820 «½«¦«ëã¼ñ¤ÖØ?á¦ðóÖØ 1-57","03045 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«Ò«ç«¸«ã«í12 (á¦ðóÖØ)?Ø¡Í¯ÏàÚÏÚªÎ½","+82-2-3701-7500","","http://www.gogung.go.kr/main.do","10:00-18:00 â©èøìíÐàªÓ÷ÏèøìíªÏ21:00ªÞªÇËÒÎ½ ¡ØìýÎ½ªÏøÍÎ½ãÁÊàªÎ1ãÁÊàîñªÞªÇ","","Ò´ñéÙíýÌ","ò¢ù»?3?àÊ?«­«ç«ó«Ü«Ã«¯«ó(ïÙÝ¤«½«¦«ë??)??5ÛãõóÏ¢","ë¶ÚªÌØÜØÏà?Ø¡Í¯ÏàÚÏÚªÎ½Í¯ÏàÚÏÚªÎ½Ùþûùî¯ðÈàØèÝðÈãÁÓÛ?ÎÃ«¹«Ý«Ã«È«½«¦«ë?ÎÃ","«¢«¯«»«·«Ó«ê«Æ«£«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"1644","zh-CN","?Ø¡ÚÅáÔÚÏÚª?","110-050 âÏ?ã¼?ÖØ?á¦ðóÖØ 1-1","110-050 âÏ?ã¼?ÖØ?ß²?ÖØ37 ","+82-2-3704-3114","+82-2-3704-3113","https://www.nfm.go.kr/home/subIndex/201.do","3 ~5êÅ 09:00 ~ 18:00 ìý?ï¸ò­ò¸17:00 6~8êÅ 09:00~18:30  ìý?ï¸ò­ò¸17:00£¬ñ²×¿ ?ñ²ìí ? ÍëýÌìí 09:00~19:00 (ìý?ï¸ò­ò¸18:00) 9-10êÅ 9:00 ~ 18:00 (ìý?ï¸ò­ò¸17:00) 11-2êÅ 9:00 ~ 17:00 (ìý?ï¸ò­ò¸16:00) ¡Ø ØßêÅõÌý¨ìéñ²ñ²ß²£¨Ùþûùìí)?ñ²çé?ñ²×¿ 9:00~21:00(ìý?ï¸ò­ò¸20:00)","àøÑ¢ìé~àøÑ¢ô¸ ","Ò´ñéÙéýÌ","3?? ÌØÜØ?ó×5?õóÏ¢õó?£¬ÓùÜÆ?15ÝÂ?  3?? äÌ?ó×1?õóÏ¢õó?£¬ÓùÜÆ?15ÝÂ?  5?? ÎÃûù?ó×2?õóÏ¢õó?£¬ÓùÜÆ?15ÝÂ? ","????ÙþûùÎÃ???Ø¡ÚÅáÔÚÏÚª?ÌØÜØ?ÚÏÚª?Ùþûù","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"11660","zh-CN","?Ø¡?ÓÛÚ¸??âÏ??"," âÏ?ã¼?ÖØ?ß²?ÖØ30? "," âÏ?ã¼?ÖØ?á¹Ì«Ô×165 ","","","http://www.mmca.go.kr/chn/?menuId=1000000000","ñ²ì£¡¢ÞÌ¡¢çé¡¢ìí: 10:00 ~ 18:00 ñ²ß²¡¢×¿ : 10:00  ~ 21:00£¨?? 18:00~21:00Øó?ìý?£©","ñ²ì£~ñ²ìí","ïÒÑ¢ýÌ?: 1êÅ1ìí¡¢õð?¡¢ñéõÕ?","3?? äÌ?ó×1?õóÏ¢ðÈÝÁõ½Û°ú¾ÜÆú¼8ÝÂ?  ","?Ø¡?ÓÛÚ¸??âÏ??Ú¸??î÷??ÓÛÚ¸?ÎÃ????","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"11661","ja","?Ø¡úÞÓÛÚ¸âúÎ½«½«¦«ëÎ½","110-200 «½«¦«ëã¼ñ¤ÖØ?á¹Ì«Ô×165 ","110-200 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«µ«à«Á«ç«ó«í30 (á¹Ì«Ô×)","","","http://www.mmca.go.kr/","ûýèøìí/ÙÊèøìí/ÑÑèøìí/ìíèøìí 10:00-18:00 â©èøìí/÷Ïèøìí 10:00-21:00","ûýèøìí?ìíèøìí","êÅèøìí¡¢1êÅ1ìí¡¢?ïáêÅÐàªÓõÕàª(??8êÅ15ìí)","3?àÊ¡¸«¢«ó«°«¯¡¹?1ÛãõóÏ¢ª«ªé«×«¯«Á«ç«ó«í(ÝÁõ½ÖØ)Û°Øü¡¢ªÞª¿ªÏ«µ«à«Á«ç«ó«í(ß²?ÖØ)ÚÅáÔÚÏÚªÎ½Û°Øü","éýâú¡¤«¢?«Èß²?Ô×ÜÜùêÙþûùéýâú«»«ó«¿?«¢«ó«°«¯??Ø¡úÞÓÛÚ¸âúÎ½«½«¦«ëÎ½«½«¦«ë?Ø¡Ú¸âúÎ½Ú¸âúÎ½ÎÃûùÚ¦á¹Ì«Ô×","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"20607","zh-CN","?Ø¡?ÙþÚÏÚª?","140-026 âÏ??ß£??ß£Ô×6Ê¶ 168-6 ","04383 âÏ??ß£?à¤??ÖØ 139 (?ß£Ô×6Ê¶?ÙþÚÏÚª?) ","+82-02-2124-6200","","http://www.hangeul.go.kr/main.do","10:00~18:00 (ñ²ìé~ñ²çéñ²ìíÍëýÌìí) 10:00~21:00 (ñ²×¿ØßêÅõÌý¨ìéñ²îÜñ²ß²) ¡Ø?î¤?áÖîñ30ÝÂ?ìý?","","êªÓ©õð??ô¸ñéõÕ??ô¸","4??ì£õ½ó×2?õóÏ¢ ÌÈ?ñéäç?ì£õ½ó× 2?õóÏ¢ ÌÈ?ñéäç?à¤??ó× 1?õóÏ¢","ÚÏÚª??Ø¡?ÙþÚÏÚª?à¤??ó×?ÎÃò¢??ì£õ½ó×??î÷ãÆ?Ùþ","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"819","zh-TW","ÏÐØ¡ñéäçÚÏÚªÎ½","140-797 âÏì³ã¼×£ß£Ï¡éÌß£Ô×6Ê¶ 168-6 ","04383 âÏì³ã¼éÌß£Ï¡à¤?Í·ÖØ137 ","+82-2-2077-9000","","http://www.museum.go.kr","ñÎìé¡¢ì£¡¢ÞÌ¡¢çé 10:00 ~ 18:00 ñÎß²¡¢×¿(å¨ÊàËÒÛ¯) 10:00~21:00 ñÎìí¡¢ÏÐïÒÊ£ìí 10:00 ~ 18:00  ¡Ø øÍÎ½îñ30ÝÂñ¤ìýíÞï¸ò­","ñÎìé~ñÎìí","êªÓ©¡¢õðï½¡¢ñéõÕï½","ñéäçàÊ¡¢4ûÜàÊì£õ½ó×2ûÜõóÏ¢õóÕÎ£¬èÙ×£ß£Ê«ïÔÍëê®Û°ú¾å³150Íëô©","ì£õ½ÑºÒ·Î½ÏÐØ¡ñéäçÚÏÚªÎ½×£ß£Ï¡îî÷ÖÚÏÚªÎ½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"20603","zh-TW","ÏÐØ¡Í¯ÏàÚÏÚªÎ½","110-820 âÏì³ã¼ñ£ÖØÏ¡á¦ðóÖØ1-57 ","03045 âÏì³ã¼ñ£ÖØÏ¡üøí­ÖØ12(á¦ðóÖØ) ","+82-2-3701-7500","","http://www.gogung.go.kr/fore/main.do?pLng=cn","10:00~18:00  ¡Ø ñÎß²¡¢ñÎ×¿ËÒÛ¯ò¸21:00 ¡Ø øÍÎ½îñ1á³ãÁï¸ò­ìýíÞ","ñÎìé~ñÎìí","êªÓ©¡¢õðï½¡¢ñéõÕ","3ûÜàÊÌØÜØÏàó×5ûÜõóÏ¢","ÌØÜØÏàó×î÷ÕÂÙþÚªÚÏÚªÎ½Ùþûùî¯ÎºÎÃÌØïÇâÏì³ÎºÎÃÏÐØ¡Í¯ÏàÚÏÚªÎ½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"1648","zh-TW","ÏÐØ¡ÚÅáÔÚÏÚªÎ½","110-050 âÏì³ã¼ñ£ÖØÏ¡á¦ðóÖØ 1-1","110-050 âÏì³ã¼ñ£ÖØÏ¡ß²?ÖØ37 ","+82-2-3704-3114","+82-2-3704-3113","https://www.nfm.go.kr/home/index.do","3~10êÅ 09:00 ~ 18:00 (õÌý­ìýíÞ17:00) 11~2êÅ 9:00 ~ 17:00 (õÌý­ìýíÞ16:00)   ¡Ø 6~ 8êÅñÎ×¿¡¢ñÎìí¡¢ÏÐïÒÊ£ìí 09:00~19:00 (õÌý­ìýíÞ18:00)  ","","êªÓ©¡¢õðï½¡¢ñéõÕ","3ûÜàÊÌØÜØÏàó×5ûÜõóÏ¢ÜÆú¼5ÝÂñ¤  3ûÜàÊäÌÏÐó×1ûÜõóÏ¢ÜÆú¼15ÝÂñ¤  5ûÜàÊÎÃûùÚ¦ó×2ûÜõóÏ¢ÜÆú¼15ÝÂñ¤ ","îî÷ÖÏÐØ¡ÚÅáÔÚÏÚªÎ½ÌØÜØÏàÑºÒ·Î½ÚÏÚªÎ½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"11662","zh-TW","ÏÐØ¡úÞÓÛÚ¸âúÎ½(âÏì³Î½)","110-200 âÏì³ã¼ñ£ÖØÏ¡á¹Ì«Ô×165 ","03062 âÏì³ã¼ñ£ÖØÏ¡ß²?ÖØ30   ","","","http://www.mmca.go.kr/","10:00~18:00(ñÎß²¡¢ñÎ×¿æÅíþËÒÛ¯ò¸21:00)","ñÎì£~ñÎìí","ñÎìé¡¢êªÓ©¡¢õðï½æ¨ñéõÕï½","3ûÜàÊäÌÏÐó×1ûÜõóÏ¢","ÌØÜØÏàÎÃûùÚ¦äÌÏÐó×ß²?Ô×ÏÐØ¡úÞÓÛÚ¸âúÎ½ÕöÞÈÌØÜØÏàó×Ú¸âúÎ½ÝÁõ½ùÛè©õ½Ùþûù","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"20606","zh-TW","ÏÐØ¡ùÛÙþÚÏÚªÎ½(ÏÐØ¡ùÛÍ¯ì³ÚÏÚªÎ½)","140-026 âÏì³ã¼×£ß£Ï¡×£ß£Ô×6Ê¶168-6 ","04383 âÏì³ã¼×£ß£Ï¡à¤?Í·ÖØ139 (×£ß£Ô×6Ê¶) ","+82-2-2124-6200","","http://www.hangeul.go.kr/lang/ch/","10:00~18:00 (ñÎìé~ñÎçé¡¢ñÎìí¡¢ÏÐïÒÊ£ìí) 10:00~21:00 (ñÎ×¿¡¢ØßêÅõÌý­ìéñÎñÎß²) ¡ØõÌý­ìýíÞãÁÊà?øÍÎ½îñ30ÝÂñ¤","","êªÓ©¡¢õðï½æ¨ñéõÕï½Ó×ô¸","ÌÈëùñéäçàÊ¡¢4ûÜàÊì£õ½ó×2ûÜõóÏ¢ ÌÈëùñéäçàÊà¤?Í·ó×1ûÜõóÏ¢","ì£õ½ó×ýºÚÅïáëåî÷ÕÂà¤?Í·ó×ùÛÙþÏÐØ¡ùÛÙþÚÏÚªÎ½ÎºÎÃÌØïÇùÛÙþë´äÅíÞÚÏÚªÎ½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"22052","zh-TW","ÙÓõ½ÕöÞÈÎ½","138-749 âÏì³ã¼áæ÷çÏ¡Û»ì¿Ô×88-3 ","05540 âÏì³ã¼áæ÷çÏ¡çó×ùù¯ÐºÖØ424 (ÙÓõ½ÕöÞÈÎ½) ","+82-2-2152-5900","+82-2-424-4205","http://baekjemuseum.seoul.go.kr/dreamvillage/","09:00~18:00","ñÎì£~ñÎìí","ñÎìé¡¢êªÓ©","5ûÜàÊçó×ùù¯ÐºÍëê®ó×3ûÜõóÏ¢    8ûÜàÊÙÓõ½÷Ïàòó×1ûÜõóÏ¢","ÙþÚªÕöÞÈî÷ÕÂÕöÞÈÙþûùô÷úÐÛÝð­ë¶îæù¦Ò¡÷ÏàòÙÓõ½ÕöÞÈÎ½çó×ùù¯ÐºÍëê®ÙÓõ½÷ÏàòÚÏÚªÎ½","Ùíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"6669","ja","ÓÞùÛÚÅ??ÞÈÚÏÚªÎ½"," «½«¦«ëã¼ñ¤ÖØ?á¦ðóÖØ82-1 "," «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«»«¸«ç«ó«Ç«í198 (á¦ðóÖØ)","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr/ja/mainja.do","êÅèøìí | ûýèøìí | ÙÊèøìí | ÑÑèøìí | ìíèøìí 10:00-18:00 â©èøìí | ÷Ïèøìí 10:00-21:00","?ìí","1êÅ1ìí¡¢?ïáêÅ¡¢õÕàª","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó¡¹?6ÛãõóÏ¢ ò¢ù»?5?àÊ¡¸«¯«¡«ó«Õ«¡«à«ó¡¹?2ÛãõóÏ¢ ò¢ù»?1?àÊ¡¸«Á«ç«ó«¬«¯¡¹?1Ûã¡¢2ÛãõóÏ¢","ÚÏÚªÎ½¡¤ÑÀÒ·Î½?ÞÈî÷ØÐ÷»ÎÃûùÚ¦?ÞÈÚÏÚªÎ½å¨ÌØÓÞùÛÚÅ??ÞÈÚÏÚªÎ½","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"6671","zh-TW","ÓÞùÛÚÅÏÐÕöÞÈÚÏÚªÎ½"," âÏì³ã¼ñ£ÖØÏ¡á¦ðóÖØ82-1 "," âÏì³ã¼ñ£ÖØÏ¡á¦ðóÓÞÖØ198 ","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr","10:00~18:00 *ñÎß²¡¢×¿æÅíþËÒÛ¯ò¸21:00ò­ *øÍÎ½îñìéá³ãÁï¸ò­ìýíÞ","ñÎìéò¸ñÎìí","êªÓ©¡¢õðï½¡¢ñéõÕï½","3ûÜàÊÌØÜØÏàó×6ûÜõóÏ¢ 5ûÜàÊÎÃûùÚ¦ó×2ûÜõóÏ¢ 1ûÜàÊñ¤ÊÈó×1¡¢2ûÜõóÏ¢","å¨ÌØñ¤ÊÈó×ÚÏÚªÎ½ÙþûùÕöÞÈÚÏÚªÎ½î÷ÕÂÎÃûùÚ¦ÓÞùÛÚÅÏÐÕöÞÈÚÏÚªÎ½ÕöÞÈÎÃûùÚ¦ó×ÑºÒ·Î½ÌØÜØÏàó×Ô¼Ø¡à¾åë","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"6670","zh-CN","ÓÞ?ÚÅ??ÞÈÚÏÚª?"," âÏ?ã¼?ÖØ?á¦ðóÖØ82-1 "," âÏ?ã¼?ÖØ?á¦ðóÓÞÖØ198 ","+82-2-3703-9200","+82-2-3703-9216","http://www.much.go.kr/zh/mainzh.do","ñ²ì£ò¸ñ²ìí£º10:00ò¸18:00 /ñ²ß²ò¸ñ²×¿£º9:00ò¸21:00(å¨???) ","Øßìí","1êÅ1ìí£¬êªÓ©£¬ñéõÕ","3?? ÌØÜØ?ó×6?õóÏ¢ 5?? ÎÃûù?ó×2?õóÏ¢ 1?? ??ó×1 2?õóÏ¢","î÷??ÞÈå¨ÌØî÷ØÐ÷»?ÞÈÎÃ??ÚÏÚª?Ùþûù??ÓÞ?ÚÅ??ÞÈÚÏÚª?","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"783","zh-CN","ÜåëÚÞÑ","135-870 âÏ?ã¼Ë°Ñõ?ÜåëÚÞÑÖØ531  ","06087 âÏ?ã¼Ë°Ñõ?ÜåëÚÞÑÖØ531  ","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org/","áôÛö?¡¢?Í±¡¢?ÝÖÔõÞÑêÂüÀ?ìíïïäÌÛÉîÜç¯?£¬?Û¯??Ê¦Òö?êó?ûù¡£ ","","","7?? ?ÓÁó×2?õóÏ¢õó?ý¨£¬ú¾ÌÈÑ²ÍÔñéÛ°ú¾150Ú·    2?? ß²à÷ó×6?õóÏ¢õó?ý¨£¬ú¾????÷²Û°ú¾100Ú·    ","ÜåëÚÞÑðó?COEXÝÖ?Ë°Ñõ?ü£šë?ÜåëÚÞÑó×ÞÑ?","?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"787","zh-TW","ÜåëÚÞÑ","135-870 âÏì³ã¼Ë°ÑõÏ¡ÜåëÚÞÑÖØ531  ","06087 âÏì³ã¼Ë°ÑõÏ¡ÜåëÚÞÑÖØ531  ","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org/","âËîÊÛöüå¡¢óÑÝÖÔõÞÑÙÙüÀÔÑüåêóá¶Ü¨ÔÑ","","","7ûÜàÊ?ÓÁó×2ûÜõóÏ¢õóÕÎ£¬èÙÌÈÑ²ÍÔñéÛ°ú¾ÜÆú¼150Íëô©    2ûÜàÊß²à÷ó×6ûÜõóÏ¢õóÕÎ£¬èÙASEM TowerÛ°ú¾ÜÆú¼100Íëô©    ","ß²à÷ó×ÞÑÙÙÐöâÖCOEXÜåëÚÞÑË°Ñõðó?á¡ò¢ÝÖ?","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ?á¶"
"833","zh-CN","ðó?","110-400 âÏ??ÖØ??ÖØ 157 ","03135 âÏ?ã¼?ÖØ??ÖØ157 ","+82-2-765-0195","","http://jm.cha.go.kr/agapp/main/index.do?siteCd=JM","2ò¸5êÅ¡¢9~10êÅ£º09:00~18:00 (17:00ï¸ò­ìý?) 6ò¸8êÅ£º09:00~18:30 (17:30ï¸ò­ìý?) 11ò¸1êÅ£º09:00~17:30 (16:30ï¸ò­ìý?) (¡Ø ??ÍÅÎ¯?)","","ñ²ì£","135?? ?ÖØ3Ê¶ó×11?õóÏ¢õó?ý¨£¬ÜÆú¼5ÝÂ? ","óãÓì?ÎÃ??óã??ðó?ð®???ÖØß²Ê¶ó×ðó?","Ùéî¡äô÷çÔ³?òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"839","zh-TW","ðóÙÙ","110-400 âÏì³÷åÜ¬ã¼ñ£ÖØÏ¡ñ£ÖØ 157 ","03135 âÏì³ã¼ñ£ÖØÏ¡ñ£ÖØ157 ","+82-2-765-0195","","http://jm.cha.go.kr","2ò¸5êÅ¡¢9~10êÅ£º09:00~18:00 (17:00ï¸ò­ìýíÞ) 6ò¸8êÅ£º09:00~18:30 (17:30ï¸ò­ìýíÞ) 11ò¸1êÅ£º09:00~17:30 (16:30ï¸ò­ìýíÞ) (¡Ø ôëóÑÍÅÎ¯ØÑ)","","ñÎì£","1ûÜàÊñ£ÖØ3Ê¶ó×11ûÜõóÏ¢ÜÆú¼å³5ÝÂñ¤   3¡¢5ûÜàÊñ£ÖØ3Ê¶ó×8ûÜõóÏ¢ÜÆú¼5ÝÂñ¤ ","Í¯îç÷®Û¾óãÓìÏàÎÃûùÚ¦á¦Í£Ùþûùë¶?ðóÙÙóãÌÔÏàðóÙÙÞäòÃîî÷Ö","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"1416","zh-CN","à¾ïþ×Õ","135-090 âÏ?ã¼Ë°Ñõ?ß²à÷Ô× 133-2","135-090 âÏ?ã¼Ë°Ñõ?à¾×ÕÖØ100Ê¶1 ","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","03-10êÅ 06:00~21:00 (?øù 20:00) 11-01êÅ 06:30~17:30 (?øù 16:30) 02êÅ 06:00~18:00 (?øù 17:00) ¡Ø ìý?ï¸ò­ò¸20:00å¨???Û¯Ý»ÝÂ??","àøÑ¢ì£ ~àøÑ¢ô¸","Øßñ²ìé","2??ÝÎÓÐ?à¾ïþ×Õó×10?õóÏ¢  9?? à¾ïþ×Õó×3?õóÏ¢","à¾×Õó×Ë°Ñõ?îéà¾×ÕÍë?à¾ïþ×Õß²à÷Ô×èÝ×Õ","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"1417","zh-TW","à¾ïþ×Õ ","135-090 âÏì³Ë°ÑõÏ¡ß²àøÔ× 133-2","135-090 âÏì³ã¼Ë°ÑõÏ¡à¾×ÕÖØ100Ê¶1 ","+82-2-568-1291","+82-2-568-0773","http://royaltombs.cha.go.kr/html/HtmlPage.do?pg=/new/html/portal_01_08_01.jsp&mn=RT_01_08","3êÅ~10êÅ 06:00~21:00  11êÅ~1êÅ 06:30~17:30  2êÅ 06:00~18:00 ¡Ø õÌý­ìýíÞãÁÊà?øÍê®îñ1á³ãÁ ¡Ø 3~10êÅå¨ÊàÐÁàâêóðÎÙ¥Ý»ÝÂÏ¡æ´ËÒÛ¯óÑÎº","ñÎì£~ñÎìí","ñÎìé","ÝÎÓÑàÊ¡¢2ûÜàÊà¾×Õó×10ûÜõóÏ¢ ÝÎÓÑàÊ¡¢9ûÜàÊà¾ïþ×Õó×3ûÜõóÏ¢","ÕöÞÈË°ÑõÍ¯îç÷®Û¾èÝ×ÕÍëê®îî÷Öà¾ïþ×Õ","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
